"","M1_1_MSS","M1_2_MSS","M5_1_MSS","M5_2_MSS","T49_1_MSS","T49_2_MSS","M42_1_PD","M42_2_PD","M43_1_PD","M43_2_PD","M64_1_PD","M64_2_PD"
"913",3568.772855,1134.781028,10459.53006,2173.183653,1039.49872,915.517334,12698.17203,3428.720454,73675.16264,92615.55594,3381.278143,1386.498929
"914",65527.66795,51346.62608,57813.74288,70218.51681,123145.0573,68630.70256,207784.0709,165755.9418,255717.1944,229127.6709,253048.8588,221110.6063
"915",34429.88863,60915.19147,76950.62947,88639.41473,10322.81299,5901.523019,3019.624946,2121.785607,2421.493156,1567.268614,2172.702896,1689.967442
"916",39763.43397,58903.18792,209693.0614,349988.1673,1234631.809,814120.6203,730188.8501,570689.405,107527.4204,52474.87222,1009741.716,681181.2161
"917",1659487.282,1711374.629,5682738.422,6971791.404,7440039.113,5786870.321,5877921.682,4451939.418,4704021.873,2918648.07,5622449.555,4783493.113
"918",532318.0605,548925.4822,1712248.251,1986907.478,640060.4743,606544.6266,561654.8916,466198.2367,224527.119,56067.74616,458246.9137,480037.7099
"919",25470.23865,18995.53299,30919.28891,44998.03669,15637.479,8718.155413,39999.65949,51872.85848,152073.1753,148075.7402,32443.53443,11692.4569
"920",11726.54945,6079.452052,9012.731229,28330.03272,47603.29697,16728.35997,15912.7141,10584.87776,195697.2926,173610.5943,16903.47496,12672.81711
"921",243477.4542,225176.2592,207518.5858,251371.9901,264699.2664,277899.0198,193815.8813,246901.6256,96822.03119,140771.122,306593.7513,351179.0996
"922",1898817.129,1984431.286,3550983.496,3830700.531,4298194.948,3721631.158,2608588.266,2524921.673,1495167.952,1134216.847,2776732.263,2828088.005
"923",46655.03168,40639.90023,23150.57855,51257.07196,78767.08309,120369.2614,83445.35352,74746.0217,48310.80317,33250.3847,126636.3371,69737.82404
"924",13118.52383,19401.14669,95758.62517,104174.6561,213250.2959,171341.9207,156974.2,91346.31805,47897.56065,17644.19677,113075.4927,95148.16925
"925",36323.47037,52961.70875,35474.37175,18113.85465,179134.0063,24157.82464,61190.0111,82089.30675,141184.5159,148108.7752,161935.0615,97852.02934
"926",142532.9607,128025.849,106578.1868,187373.6588,265707.875,258393.3825,190268.4302,144839.0496,112720.0337,127026.126,197291.2169,134969.0695
"927",46791.36839,55275.04022,31613.28086,52659.34007,73393.13981,67731.33045,43217.41696,57569.56849,71919.09721,99514.83102,50639.75446,55036.67162
"928",44094.54198,39323.3753,91808.37117,135350.1338,185513.6005,189999.1687,114830.0536,76855.2098,75526.78818,66058.08694,138747.8244,267993.0266
"929",59274.52732,41526.39843,22809.65346,48831.63455,4763.597763,4092.839077,14646.23415,7755.22191,9471.282733,15206.28075,3346.818978,3917.253285
"930",3013.852027,2625.148137,6284.419083,28922.38431,28965.12876,45519.5992,41857.84583,4194.354281,94.88977768,0,58014.14507,48363.39157
"931",65073.08874,60759.03802,155612.5371,159558.9344,241741.9083,197178.1438,374601.0362,105592.7689,32649.42544,7816.242666,455501.2951,469153.4976
"932",67935.17341,78868.80924,143062.9526,107460.4428,33923.25193,66351.79919,54918.22678,19327.30793,51524.29691,25407.08131,31487.76019,69385.55583
"933",1686.735107,4190.492514,2107.180414,0,0,0,0,0,2648.672646,720.81166,0,1784.199055
"934",3632.600757,2139.628037,5295.944346,7526.294992,1018.998282,3717.175574,9381.416858,2520.447893,29952.31081,37841.39382,2816.634468,8025.917644
"935",101771.0703,84677.49554,60773.90637,79897.58967,163334.2716,109334.9117,426959.2829,385576.7973,352494.9694,368226.4529,273629.9964,199540.2027
"936",59037.23032,71745.978,19772.57809,19691.33295,29749.64252,21421.43717,0,0,5561.857452,6849.129121,9114.863826,3961.619042
"937",558.0434197,859.045637,0,0,812.9965429,552.3084857,271.5923273,0,7476.501309,7794.037086,287.1195702,750.5981605
"938",4978.113461,3627.858429,2960.082265,0,2843.481449,2209.753407,0,5359.217756,22105.93618,15163.36287,4105.852432,0
"939",117475.2526,133945.2778,12474.94689,20457.45943,23972.02642,20159.83708,891.7985532,0,30753.78992,24767.12078,10506.28258,14044.40931
"940",22768.56047,38577.83148,14042.6837,18621.68774,26267.47156,16706.9305,14792.14028,18124.96849,1678.440085,1607.82631,16216.93828,9404.906944
"941",593784.5898,552647.1398,365705.7449,453658.1297,578671.3356,459953.5477,548481.3489,456908.9306,228215.0407,189333.2914,295221.1137,285384.557
"942",31363.42137,25173.72001,28365.08587,12597.04813,17651.13012,25618.9237,6672.916999,33458.63848,6009.661117,13763.95418,24850.11217,11227.69855
"943",15967.96201,18680.57079,2521.61917,6983.618311,13851.45144,14574.5307,12537.16052,5099.316856,4264.542037,5060.411303,2152.770287,0
"944",14582.73373,32314.07749,31830.38933,62222.07776,53569.03713,29682.93058,124457.1771,119849.8621,182953.2125,234503.2779,60813.02906,57394.81314
"945",108518.2649,242911.531,248302.7956,156309.1285,211981.498,157249.7122,99809.12459,45699.43367,109917.6148,122540.9162,122518.7221,86377.85602
